"Subject" "StartTime" "Range" "RealAngle" "Error" "ResponseAngle" "RealTime"
3 221 0 134 -12.3924978 121.607502 721
3 221 0 322 -13.3401917 308.659808 721
3 221 0 61 -17.8476103 43.1523897 721
3 221 0 329 -30.6992442 298.300756 721
3 221 0 97 -10.8140748 86.1859252 721
3 175 50 235 -42.0053832 192.994617 711
3 175 50 199 -13.8055711 185.194429 718
3 175 50 333 -14.4236656 318.576334 714
3 175 50 58 -31.4349488 26.5650512 712
3 175 50 48 -11.9726266 36.0273734 705
3 175 50 346 -21.1341931 324.865807 720
3 175 50 161 -26 135 708
3 175 50 181 -27.5650512 153.434949 707
3 175 50 358 -23.820992 334.179008 701
3 175 50 247 -26.3987054 220.601295 701
3 175 50 326 -29.4349488 296.565051 676
3 198 0 273 -29.5650512 243.434949 698
3 198 0 174 -34.6012946 139.398705 698
3 198 0 267 -27.9637565 239.036243 698
3 198 0 58 -20.7920781 37.2079219 698
3 198 0 104 -14 90 698
3 198 0 268 -27.0546041 240.945396 698
3 198 0 296 -11.9637565 284.036243 698
3 198 0 95 -5 90 698
3 198 0 277 -13.3401917 263.659808 698
3 198 0 281 -40.7448813 240.255119 698
3 198 0 294 -20.8201699 273.17983 698
3 198 0 336 -29.1301024 306.869898 698
3 50 300 108 -6.69006753 101.309932 779
3 50 300 170 -38.3664607 131.633539 739
3 50 300 196 -44.8107937 151.189206 576
3 50 300 316 -6.44033203 309.559668 623
3 50 300 207 -53.5650512 153.434949 785
3 50 300 84 -15.8014095 68.1985905 726
3 50 300 107 -50.6900675 56.3099325 735
3 50 300 297 -16.1596945 280.840305 553
3 50 300 103 -11.7546357 91.2453643 744
3 50 300 358 -26.7397953 331.260205 585
3 50 300 227 -26.4439548 200.556045 850
3 100 200 346 -19.6900675 326.309932 620
3 100 200 286 -16 270 772
3 100 200 359 -28.0546041 330.945396 720
3 100 200 127 -25.6900675 101.309932 602
3 100 200 120 -14.7448813 105.255119 687
3 100 200 217 -21.7448813 195.255119 733
3 100 200 123 -18.379126 104.620874 766
3 100 200 351 -24.6900675 326.309932 796
3 100 200 279 -30.8014095 248.198591 753
3 100 200 313 -16.4349488 296.565051 744
3 100 200 318 -12.4623222 305.537678 722
3 100 200 215 -20.9637565 194.036243 654
3 150 100 223 -16.4349488 206.565051 704
3 150 100 92 -10.1301024 81.8698976 673
3 150 100 56 -1.53767779 54.4623222 670
3 150 100 93 -3 90 736
3 150 100 266 -24.6104597 241.38954 733
3 150 100 149 -25.3099325 123.690068 677
3 150 100 96 -15.4623222 80.5376778 716
3 150 100 253 -30.4895529 222.510447 736
3 150 100 22 -8.60750225 13.3924978 693
3 150 100 248 -19.9872125 228.012788 737
3 150 100 10 -7.3974378 2.6025622 686
3 150 100 348 -14.5650512 333.434949 708
3 50 300 200 -52.0053832 147.994617 848
3 50 300 244 -26.1250163 217.874984 565
3 50 300 75 -9.14554196 65.854458 594
3 50 300 352 -22.9637565 329.036243 743
3 50 300 309 -57.4349488 251.565051 606
3 50 300 330 -23.1301024 306.869898 626
3 50 300 35 -31.308614 3.69138599 739
3 50 300 117 -20.990994 96.009006 730
3 50 300 99 -18.4623222 80.5376778 748
3 50 300 266 -26.9637565 239.036243 774
3 50 300 280 -10 270 789
3 50 300 126 -12.037511 113.962489 777
3 50 300 163 -39.3099325 123.690068 748
3 50 300 344 -22.1572266 321.842773 831
3 50 300 231 -35.0546041 195.945396 694
3 50 300 81 -23.4711923 57.5288077 727
3 50 300 212 -19.4711923 192.528808 565
3 50 300 157 -22 135 559
3 50 300 41 -19.6293777 21.3706223 827
3 50 300 254 -27.025066 226.974934 553
3 50 300 219 -5.30993247 213.690068 687
3 50 300 178 -15.102729 162.897271 830
3 50 300 284 -25.3099325 258.690068 814
3 50 300 135 -22.9637731 112.036227 803
3 50 300 73 -25.70939 47.29061 582
3 50 300 209 -16.0053832 192.994617 816
3 50 300 208 -19.8698976 188.130102 610
3 50 300 266 -26.9637565 239.036243 714
3 50 300 353 -38 315 790
3 50 300 344 -13.0546041 330.945396 834
3 50 300 249 -24 225 696
3 50 300 306 -21.9637565 284.036243 796
3 50 300 92 -25.962489 66.037511 555
3 50 300 289 -27.7461623 261.253838 721
3 61 0 195 -19.2363948 175.763605 561
3 61 0 349 -19.7354877 329.264512 561
3 61 0 312 -17.3231368 294.676863 561
3 61 0 79 -21.9052429 57.0947571 561
3 61 0 209 -17.3407073 191.659293 561
3 61 0 69 -12.6900675 56.3099325 561
3 61 0 53 -20.0947571 32.9052429 561
3 61 0 262 -28.8698976 233.130102 561
3 61 0 357 -16.9831065 340.016893 561
3 61 0 288 -9.86989765 278.130102 561
3 61 0 172 -21.7448813 150.255119 561
3 100 200 197 -32.9453959 164.054604 786
3 100 200 46 -20.8552144 25.1447856 693
3 100 200 292 -25.5763344 266.423666 632
3 100 200 208 -30.4895529 177.510447 785
3 100 200 64 -22.8140748 41.1859252 753
3 100 200 124 -16.4744316 107.525568 679
3 100 200 272 -39.8749837 232.125016 633
3 100 200 172 -15.1985905 156.801409 800
3 100 200 221 -28.4711923 192.528808 710
3 100 200 81 -14.1985905 66.8014095 607
3 150 100 108 -9.86989765 98.1301024 733
3 150 100 151 -28.9946168 122.005383 682
3 150 100 216 -15.4439548 200.556045 746
3 150 100 339 -15.8698976 323.130102 729
3 150 100 279 -2.65980825 276.340192 746
3 150 100 167 -23.1932073 143.806793 719
3 150 100 224 -22.962489 201.037511 718
3 150 100 356 -15.6538241 340.346176 705
3 150 100 266 -30.9920202 235.00798 691
3 150 100 292 -5.61045967 286.38954 743
3 150 100 187 -16.4623222 170.537678 666
3 150 100 227 -21.4400348 205.559965 663
3 150 100 227 -23.8014095 203.198591 706
3 150 100 255 -14.7448813 240.255119 651
3 150 100 304 -48.0362435 255.963757 739
3 150 100 102 -7.23635831 94.7636417 691
3 150 100 35 -16.5650512 18.4349488 717
3 150 100 43 -12.0362435 30.9637565 736
3 150 100 325 -12.2025982 312.797402 733
3 150 100 131 -22.5650512 108.434949 666
3 150 100 73 -24.1859252 48.8140748 734
3 175 50 158 -21.2642954 136.735705 712
3 175 50 287 -15.025066 271.974934 702
3 175 50 256 -25.8055711 230.194429 724
3 175 50 304 -18.0546041 285.945396 689
3 175 50 161 -31.1944289 129.805571 718
3 175 50 334 -15.9872125 318.012788 688
3 175 50 34 -11.3801351 22.6198649 714
3 175 50 193 -20.5946434 172.405357 688
3 175 50 79 -21.4711923 57.5288077 678
3 175 50 172 -32.6012946 139.398705 694
3 175 50 39 -16.3801351 22.6198649 721
3 175 50 183 -35.7352263 147.264774 706
3 175 50 61 -16 45 709
3 175 50 277 -27.5560452 249.443955 714
3 175 50 132 -26.0546041 105.945396 714
3 175 50 290 -9.69515353 280.304846 678
3 175 50 264 -30.8698976 233.130102 687
3 175 50 279 -35.5650512 243.434949 712
3 175 50 343 -28 315 695
3 175 50 295 -25 270 678
3 175 50 186 -35.7448813 150.255119 690
3 175 50 206 -26 180 715
3 175 50 255 -34.0856168 220.914383 714
3 175 50 157 -25.8140748 131.185925 700
3 100 200 22 -5.61045967 16.3895403 675
3 100 200 299 -10.5650512 288.434949 776
3 100 200 74 -12.6104597 61.3895403 670
3 100 200 117 -15.6900675 101.309932 710
3 100 200 141 -27.8014095 113.198591 673
3 100 200 44 -17.4349488 26.5650512 687
3 100 200 235 -18.1301024 216.869898 694
3 100 200 160 -26.4688007 133.531199 634
3 100 200 31 -19.6900675 11.3099325 717
3 100 200 352 -17.2011236 334.798876 764
3 100 200 138 -23.2248594 114.775141 743
3 146 0 195 -36.8014095 158.198591 646
